root=Player
path	localPos	localEulerZ	localScale	worldPos	worldEulerZ
root/pelvis_1/abdomen/chest/shoulder_L/arm_L_1/forearm_L_1	0.199070,0.000000	73.688	1.0000,1.0000	-0.029141,1.128720	-50.153
root/pelvis_1/abdomen/chest/shoulder_L/arm_L_1/forearm_L_1/hand_L	0.224466,0.000000	23.309	1.0000,1.0000	0.114682,0.956383	-26.845
root/pelvis_1/hip	0.183526,0.000251	167.090	1.0000,1.0000	0.019419,1.042738	-107.647
root/pelvis_1/hip/thigh_L_1	0.116009,0.029397	33.084	1.0000,1.0000	0.012264,0.923276	-74.563
root/pelvis_1/hip/thigh_L_1/leg_L_1	0.325644,0.000000	0.000	1.0000,1.0000	0.098942,0.609380	-74.563
root/pelvis_1/hip/thigh_L_1/leg_L_1/foot_L_01	0.352043,0.000000	41.420	1.0000,1.0000	0.192647,0.270037	-33.143
root/pelvis_1/hip/thigh_L_1/leg_L_1/foot_L_01/foot_L_02	0.112237,0.000000	0.000	1.0000,1.0000	0.286625,0.208674	-33.143
root/pelvis_1/hip/thigh_L_1/leg_L_1/foot_L_01/foot_L_02/foot_L_effector	0.257000,0.000000	30.523	1.0000,1.0000	0.501813,0.068165	-2.620
root/pelvis_1/hip/thigh_L_1/leg_L_1/leg_L_effector	0.470000,0.000000	-19.953	1.0000,1.0000	0.224045,0.156336	-94.516
root/pelvis_1/hip/thigh_R_1	0.151291,-0.003106	-0.239	1.0000,1.0000	-0.029406,0.899508	-107.886
root/pelvis_1/hip/thigh_R_1/leg_R_1	0.295847,0.000000	0.000	1.0000,1.0000	-0.120268,0.617959	-107.886
root/pelvis_1/hip/thigh_R_1/leg_R_1/foot_R_01	0.346431,0.000000	60.198	1.0000,1.0000	-0.226666,0.288271	-47.688
root/pelvis_1/hip/thigh_R_1/leg_R_1/foot_R_01/foot_R_02	0.123841,0.000000	0.000	1.0000,1.0000	-0.143300,0.196692	-47.688
root/pelvis_1/hip/thigh_R_1/leg_R_1/foot_R_01/foot_R_02/foot_R_effector	0.244000,0.000000	45.212	1.0000,1.0000	0.020953,0.016256	-2.476
root/pelvis_1/hip/thigh_R_1/leg_R_1/leg_R_effector	0.415000,0.000000	8.775	1.0000,1.0000	-0.247725,0.223016	-99.111
leg_L_solver	0.000000,0.000000	0.000	1.0000,1.0000	0.000000,0.000000	0.000
leg_L_solver/leg_L_solver_Target	0.283255,-0.058086	-94.516	1.0000,1.0000	0.283255,-0.058086	-94.516
leg_R_solver	0.000000,0.000000	0.000	1.0000,1.0000	0.000000,0.000000	0.000
leg_R_solver/leg_R_solver_Target	-0.318882,0.002526	-99.111	1.0000,1.0000	-0.318882,0.002526	-99.111
foot_L_solver	0.000000,0.000000	0.000	1.0000,1.0000	0.000000,0.000000	0.000
foot_L_solver/foot_L_solver_Target	0.615728,-0.006216	-2.620	1.0000,1.0000	0.615728,-0.006216	-2.620
foot_R_solver	0.000000,0.000000	0.000	1.0000,1.0000	0.000000,0.000000	0.000
foot_R_solver/foot_R_solver_Target	0.061979,-0.028811	-2.476	1.0000,1.0000	0.061979,-0.028811	-2.476
