root=Sara
path	localPos	localEulerZ	localScale	worldPos	worldEulerZ
puppet_sara/upperBoot_L	-0.011500,0.372000	0.000	1.0000,1.0000	0.993500,0.651000	0.000
puppet_sara/leg_L	0.035000,0.460500	0.000	1.0000,1.0000	1.040000,0.739500	0.000
puppet_sara/thigh_L	0.002000,0.850000	0.000	1.0000,1.0000	1.007000,1.129000	0.000
puppet_sara/neck	-0.032000,1.454000	0.000	1.0000,1.0000	0.973000,1.733000	0.000
puppet_sara/hairBack_02	-0.078000,1.561000	0.000	1.0000,1.0000	0.927000,1.840000	0.000
puppet_sara/hairTop_B	0.059000,1.655000	0.000	1.0000,1.0000	1.064000,1.934000	0.000
puppet_sara/forearm_L	0.016500,1.048500	0.000	1.0000,1.0000	1.021500,1.327500	0.000
puppet_sara/arm_L	-0.003500,1.285000	0.000	1.0000,1.0000	1.001500,1.564000	0.000
puppet_sara/root	-0.027000,-0.064000	90.466	1.0000,1.0000	0.978000,0.215000	90.466
puppet_sara/root/pelvis_1	0.659263,-0.039474	-5.203	1.0000,1.0000	1.012112,0.874562	85.263
puppet_sara/root/pelvis_1/abdomen	0.183899,0.000000	9.459	1.0000,1.0000	1.027300,1.057833	94.722
puppet_sara/root/pelvis_1/abdomen/chest	0.157866,0.000000	-18.034	1.0000,1.0000	1.014304,1.215163	76.688
puppet_sara/root/pelvis_1/abdomen/chest/neck_1	0.174298,0.000000	-5.821	1.0000,1.0000	1.054437,1.384778	70.867
puppet_sara/root/pelvis_1/abdomen/chest/neck_1/head_1	0.076557,0.000000	-26.761	1.0000,1.0000	1.079529,1.457105	44.106
puppet_sara/root/pelvis_1/abdomen/chest/neck_1/head_1/hairSide_01	0.050593,0.032585	-117.245	1.0000,1.0000	1.093178,1.515715	-73.139
puppet_sara/root/pelvis_1/abdomen/chest/neck_1/head_1/hairSide_01/hairSide_02	0.093260,0.000000	20.652	1.0000,1.0000	1.120228,1.426465	-52.487
puppet_sara/root/pelvis_1/abdomen/chest/neck_1/head_1/hairTop	0.292179,-0.047308	170.220	1.0000,1.0000	1.322254,1.626489	-145.675
puppet_sara/root/pelvis_1/abdomen/chest/neck_1/head_1/hairTop/tail_01	0.444332,0.000000	16.969	1.0000,1.0000	0.955304,1.375932	-128.706
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_R	0.154495,0.011953	127.198	1.0000,1.0000	1.038245,1.368259	-156.114
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_R/arm_R_1	0.053958,0.000000	30.400	1.0000,1.0000	0.988909,1.346410	-125.713
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_R/arm_R_1/forearm_R_1	0.200676,0.000000	62.151	1.0000,1.0000	0.871768,1.183472	-63.563
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_R/arm_R_1/forearm_R_1/hand_R	0.233072,0.000000	23.756	1.0000,1.0000	0.975537,0.974774	-39.806
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_R/arm_R_1/forearm_R_1/hand_R/grab_root	0.039400,0.013500	0.000	1.0000,1.0000	1.014447,0.959922	-39.806
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_L	0.152515,-0.013381	-139.215	1.0000,1.0000	1.062443,1.360499	-62.526
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_L/arm_L_1	0.058261,0.000000	-61.315	1.0000,1.0000	1.089321,1.308808	-123.841
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_L/arm_L_1/forearm_L_1	0.199070,0.000000	73.688	1.0000,1.0000	0.978460,1.143464	-50.153
puppet_sara/root/pelvis_1/abdomen/chest/shoulder_L/arm_L_1/forearm_L_1/hand_L	0.224466,0.000000	23.309	1.0000,1.0000	1.122283,0.971127	-26.845
puppet_sara/root/pelvis_1/hip	0.183526,0.000251	167.090	1.0000,1.0000	1.027019,1.057482	-107.647
puppet_sara/root/pelvis_1/hip/thigh_L_1	0.116009,0.029397	57.199	1.0000,1.0000	1.019864,0.938021	-50.448
puppet_sara/root/pelvis_1/hip/thigh_L_1/leg_L_1	0.325644,0.000000	-32.092	1.0000,1.0000	1.227228,0.686935	-82.539
puppet_sara/root/pelvis_1/hip/thigh_L_1/leg_L_1/foot_L_01	0.352043,0.000000	46.531	1.0000,1.0000	1.272939,0.337872	-36.009
puppet_sara/root/pelvis_1/hip/thigh_L_1/leg_L_1/foot_L_01/foot_L_02	0.112237,0.000000	36.209	1.0000,1.0000	1.363730,0.271887	0.200
puppet_sara/root/pelvis_1/hip/thigh_L_1/leg_L_1/foot_L_01/foot_L_02/foot_L_effector	0.257000,0.000000	-2.823	1.0000,1.0000	1.620729,0.272783	-2.623
puppet_sara/root/pelvis_1/hip/thigh_L_1/leg_L_1/leg_L_effector	0.470000,0.000000	-11.976	1.0000,1.0000	1.288255,0.220913	-94.516
puppet_sara/root/pelvis_1/hip/thigh_R_1	0.151291,-0.003106	6.368	1.0000,1.0000	0.978195,0.914252	-101.279
puppet_sara/root/pelvis_1/hip/thigh_R_1/leg_R_1	0.295847,0.000000	-23.079	1.0000,1.0000	0.920330,0.624119	-124.358
puppet_sara/root/pelvis_1/hip/thigh_R_1/leg_R_1/foot_R_01	0.346431,0.000000	87.052	1.0000,1.0000	0.724816,0.338132	-37.306
puppet_sara/root/pelvis_1/hip/thigh_R_1/leg_R_1/foot_R_01/foot_R_02	0.123841,0.000000	34.279	1.0000,1.0000	0.823320,0.263075	-3.027
puppet_sara/root/pelvis_1/hip/thigh_R_1/leg_R_1/foot_R_01/foot_R_02/foot_R_effector	0.244000,0.000000	0.552	1.0000,1.0000	1.066979,0.250189	-2.475
puppet_sara/root/pelvis_1/hip/thigh_R_1/leg_R_1/leg_R_effector	0.415000,0.000000	25.247	1.0000,1.0000	0.686118,0.281526	-99.111
puppet_sara/leg_L_solver	0.000000,0.000000	0.000	1.0000,1.0000	1.005000,0.279000	0.000
puppet_sara/leg_L_solver/leg_L_solver_Target	0.283255,-0.058086	-94.516	1.0000,1.0000	1.288255,0.220914	-94.516
puppet_sara/leg_R_solver	0.000000,0.000000	0.000	1.0000,1.0000	1.005000,0.279000	0.000
puppet_sara/leg_R_solver/leg_R_solver_Target	-0.318882,0.002526	-99.111	1.0000,1.0000	0.686118,0.281526	-99.111
puppet_sara/foot_L_solver	0.000000,0.000000	0.000	1.0000,1.0000	1.005000,0.279000	0.000
puppet_sara/foot_L_solver/foot_L_solver_Target	0.615728,-0.006216	-2.623	1.0000,1.0000	1.620728,0.272784	-2.623
puppet_sara/foot_R_solver	0.000000,0.000000	0.000	1.0000,1.0000	1.005000,0.279000	0.000
puppet_sara/foot_R_solver/foot_R_solver_Target	0.061979,-0.028811	-2.475	1.0000,1.0000	1.066979,0.250189	-2.475
tail	-0.029590,1.122953	-122.393	1.0000,1.0000	0.975410,1.401953	-122.393
tail/bone_1	0.000000,0.000000	4.502	1.0000,1.0000	0.975410,1.401953	-117.891
tail/bone_1/bone_2	0.076012,0.009643	8.070	1.0000,1.0000	0.948374,1.330260	-109.821
tail/bone_1/bone_2/bone_3	0.069997,0.012637	9.128	1.0000,1.0000	0.936528,1.260124	-100.693
tail/bone_1/bone_2/bone_3/bone_4	0.061261,0.012396	8.439	1.0000,1.0000	0.937342,1.197627	-92.254
tail/bone_1/bone_2/bone_3/bone_4/bone_5	0.061765,0.011144	7.367	1.0000,1.0000	0.946047,1.135472	-84.887
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6	0.056659,0.010614	-4.402	1.0000,1.0000	0.961668,1.079985	-89.289
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7	0.046240,0.008036	0.204	1.0000,1.0000	0.970277,1.033848	-89.086
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8	0.055856,0.006522	-4.812	1.0000,1.0000	0.977689,0.978103	-93.897
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9	0.042908,0.004700	0.365	1.0000,1.0000	0.979462,0.934975	-93.532
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10	0.052880,0.003782	-1.919	1.0000,1.0000	0.979979,0.881963	-95.451
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11	0.041281,0.002750	0.108	1.0000,1.0000	0.978795,0.840607	-95.343
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12	0.048214,0.002148	-0.034	1.0000,1.0000	0.976443,0.792403	-95.377
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12/bone_13	0.039312,0.001640	0.495	1.0000,1.0000	0.974392,0.753110	-94.882
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12/bone_13/bone_14	0.036854,0.001287	0.195	1.0000,1.0000	0.972538,0.716281	-94.687
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12/bone_13/bone_14/bone_15	0.046374,0.000977	0.999	1.0000,1.0000	0.969723,0.669982	-93.687
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12/bone_13/bone_14/bone_15/bone_16	0.039254,0.000777	-0.431	1.0000,1.0000	0.967974,0.630760	-94.118
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12/bone_13/bone_14/bone_15/bone_16/bone_17	0.043448,0.000527	3.996	1.0000,1.0000	0.965379,0.587386	-90.122
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12/bone_13/bone_14/bone_15/bone_16/bone_17/bone_18	0.031484,0.000471	-0.336	1.0000,1.0000	0.965783,0.555901	-90.459
tail/bone_1/bone_2/bone_3/bone_4/bone_5/bone_6/bone_7/bone_8/bone_9/bone_10/bone_11/bone_12/bone_13/bone_14/bone_15/bone_16/bone_17/bone_18/bone_tip	0.141210,0.000233	-0.001	1.0000,1.0000	0.964885,0.414694	-90.459
